SendDate,Solar Power (kW),Solar energy Generation  (kWh),consumptionValue (kW)
07-01-2024 06:44,156,0.1,0.4
07-01-2024 06:46,156,-0.1,
07-01-2024 06:48,155,-0.1,
07-01-2024 06:50,153,0.1,0.4
07-01-2024 06:51,152,0.1,0.4
07-01-2024 06:54,153,0.1,0.38
07-01-2024 06:55,154,0.1,0.4
07-01-2024 06:56,155,0.1,0.37
07-01-2024 07:00,155,0.1,0.38
07-01-2024 07:01,155,0.1,0.38
07-01-2024 07:02,153,-0.1,
07-01-2024 07:03,154,0.1,0.4
07-01-2024 07:05,153,-0.1,
07-01-2024 07:09,153,-0.1,
07-01-2024 07:10,155,0.1,0.38
07-01-2024 07:11,155,0.1,0.39
07-01-2024 07:14,154,-0.1,
07-01-2024 07:15,153,0.1,0.38
07-01-2024 07:17,156,0.1,0.38
07-01-2024 07:18,155,0.1,0.38
07-01-2024 07:19,155,0.1,0.38
07-01-2024 07:23,155,0.1,0.38
07-01-2024 07:25,156,0.1,0.38
07-01-2024 07:26,156,0.1,0.39
07-01-2024 07:27,156,0.1,0.39
07-01-2024 07:28,153,0.1,0.38
07-01-2024 07:32,153,0.1,0.44
07-01-2024 07:33,153,0.2,0.38
07-01-2024 07:35,153,-0.1,
07-01-2024 07:36,153,0.2,0.38
07-01-2024 07:38,154,0.2,0.37
07-01-2024 07:39,153,-0.1,
07-01-2024 07:41,155,0.2,0.38
07-01-2024 07:43,153,0.2,0.39
07-01-2024 07:45,156,-0.1,
07-01-2024 07:46,153,0.2,0.38
07-01-2024 07:49,154,0.2,0.38
07-01-2024 07:51,152,0.2,0.38
07-01-2024 07:52,153,0.2,0.38
07-01-2024 07:55,151,0.2,0.4
07-01-2024 07:56,154,0.2,0.4
07-01-2024 07:57,152,0.2,0.4
07-01-2024 07:59,152,0.2,0.39
07-01-2024 08:00,151,0.2,0.41
07-01-2024 08:03,153,-0.1,
07-01-2024 08:05,154,-0.1,
07-01-2024 08:07,155,-0.1,
07-01-2024 08:11,157,-0.1,
07-01-2024 08:12,156,0.2,0.41
07-01-2024 08:13,155,0.2,0.42
07-01-2024 08:16,154,0.2,0.39
07-01-2024 08:17,154,0.2,0.41
07-01-2024 08:18,155,0.2,0.4
07-01-2024 08:20,156,0.2,0.4
07-01-2024 08:22,175,-0.1,
07-01-2024 08:23,157,0.3,0.4
07-01-2024 08:24,157,-0.1,
07-01-2024 08:26,153,-0.1,
07-01-2024 08:28,154,-0.1,
07-01-2024 08:29,156,0.3,0.4
07-01-2024 08:30,153,0.3,0.41
07-01-2024 08:34,154,0.3,0.4
07-01-2024 08:35,153,-0.1,
07-01-2024 08:37,153,-0.1,
07-01-2024 08:39,152,-0.1,
07-01-2024 08:40,153,0.3,0.41
07-01-2024 08:42,154,-0.1,
07-01-2024 08:43,154,0.3,0.41
07-01-2024 08:44,152,0.3,0.41
07-01-2024 08:46,154,0.3,0.4
07-01-2024 08:47,154,0.3,0.41
07-01-2024 08:51,153,-0.1,
07-01-2024 08:52,153,0.3,0.41
07-01-2024 08:53,151,0.3,0.4
07-01-2024 08:56,152,-0.1,
07-01-2024 08:58,152,0.3,0.42
07-01-2024 09:00,154,-0.1,
07-01-2024 09:02,152,-0.1,
07-01-2024 09:03,156,-0.1,
07-01-2024 09:05,156,0.3,0.41
07-01-2024 09:06,157,0.3,0.42
07-01-2024 09:07,154,0.3,0.41
07-01-2024 09:10,157,0.4,0.41
07-01-2024 09:11,157,0.4,0.41
07-01-2024 09:12,156,0.4,0.42
07-01-2024 09:16,157,0.4,0.42
07-01-2024 09:17,155,0.4,0.46
07-01-2024 09:18,822,0.4,0.42
07-01-2024 09:18,806,0.4,0.45
07-01-2024 09:25,959,0.5,0.44
07-01-2024 09:30,1045,0.5,0.44
07-01-2024 09:35,936,0.6,0.45
07-01-2024 09:40,995,0.7,0.48
07-01-2024 09:45,786,0.8,0.49
07-01-2024 09:51,836,0.8,0.49
07-01-2024 09:56,1058,0.9,0.48
07-01-2024 10:01,1172,1,0.46
07-01-2024 10:06,896,1.1,0.5
07-01-2024 10:11,827,1.2,0.51
07-01-2024 10:17,1081,1.2,0.51
07-01-2024 10:23,1467,1.4,0.51
07-01-2024 10:28,1537,1.5,0.5
07-01-2024 10:33,869,1.6,0.52
07-01-2024 10:38,1442,1.6,0.5
07-01-2024 10:43,1417,1.8,0.48
07-01-2024 10:49,1176,1.9,0.46
07-01-2024 10:54,855,1.9,0.46
07-01-2024 10:59,1365,2,0.46
07-01-2024 11:04,900,2.1,0.47
07-01-2024 11:09,1326,2.2,0.46
07-01-2024 11:14,1138,2.3,0.43
07-01-2024 11:19,973,2.4,0.43
07-01-2024 11:26,1563,2.5,0.48
07-01-2024 11:31,1163,2.6,0.51
07-01-2024 11:36,1562,2.7,0.46
07-01-2024 11:41,1528,2.8,0.43
07-01-2024 11:46,1443,2.9,0.55
07-01-2024 11:52,881,3,0.44
07-01-2024 11:57,1147,3.1,0.46
07-01-2024 12:02,1012,3.2,0.48
07-01-2024 12:07,1609,3.3,0.47
07-01-2024 12:12,852,3.4,0.46
07-01-2024 12:16,649,3.5,0.46
07-01-2024 12:18,644,3.5,0.48
07-01-2024 12:18,656,3.5,0.43
07-01-2024 12:24,667,3.5,0.45
07-01-2024 12:29,805,3.6,0.48
07-01-2024 12:34,769,3.7,0.48
07-01-2024 12:39,941,3.8,0.5
07-01-2024 12:44,1038,3.8,0.5
07-01-2024 12:50,927,3.9,0.41
07-01-2024 12:55,742,4,0.42
07-01-2024 13:00,1022,4.1,0.46
07-01-2024 13:05,576,4.1,0.45
07-01-2024 13:10,702,4.2,0.45
07-01-2024 13:16,1219,4.3,0.45
07-01-2024 13:22,1212,4.4,0.43
07-01-2024 13:27,1012,4.4,0.45
07-01-2024 13:32,1079,4.5,0.39
07-01-2024 13:37,1072,4.6,0.37
07-01-2024 13:42,1053,4.7,0.39
07-01-2024 13:47,1040,4.8,0.38
07-01-2024 13:52,1069,4.9,0.39
07-01-2024 13:57,1003,4.9,0.37
07-01-2024 14:02,1031,5,0.38
07-01-2024 14:08,999,5.1,0.36
07-01-2024 14:13,976,5.2,0.37
07-01-2024 14:18,944,5.3,0.35
07-01-2024 14:24,1204,5.3,0.41
07-01-2024 14:29,937,5.4,0.41
07-01-2024 14:34,934,5.5,0.41
07-01-2024 14:40,888,5.6,0.41
07-01-2024 14:45,911,5.6,0.42
07-01-2024 14:48,1187,5.7,0.44
07-01-2024 14:49,1190,5.7,0.43
07-01-2024 14:50,1149,5.7,0.44
07-01-2024 14:55,1312,5.8,0.39
07-01-2024 15:00,885,5.9,0.38
07-01-2024 15:05,1270,6,0.38
07-01-2024 15:08,718,6,0.38
07-01-2024 15:10,663,6,0.41
07-01-2024 15:12,596,6.1,0.4
07-01-2024 15:15,761,6.1,0.4
07-01-2024 15:22,706,6.2,0.4
07-01-2024 15:27,901,6.2,0.42
07-01-2024 15:32,1170,6.3,0.39
07-01-2024 15:37,1142,6.4,0.39
07-01-2024 15:42,1034,6.5,0.39
07-01-2024 15:47,1108,6.6,0.38
07-01-2024 15:53,1105,6.7,0.38
07-01-2024 15:58,1000,6.7,0.37
07-01-2024 16:03,897,6.8,0.38
07-01-2024 16:08,633,6.9,0.38
07-01-2024 16:13,839,6.9,0.36
07-01-2024 16:18,735,7,0.44
07-01-2024 16:24,856,7.1,0.49
07-01-2024 16:29,838,7.1,0.44
07-01-2024 16:35,723,7.2,0.46
07-01-2024 16:40,602,7.3,0.4
07-01-2024 16:45,635,7.3,0.44
07-01-2024 16:50,723,7.4,0.44
07-01-2024 16:55,664,7.4,0.41
07-01-2024 17:00,593,7.5,0.4
07-01-2024 17:05,542,7.5,0.43
07-01-2024 17:12,354,7.5,0.48
07-01-2024 17:17,354,7.5,
07-01-2024 17:19,304,7.5,
07-01-2024 17:23,318,7.5,
07-01-2024 17:26,344,7.6,0.47
07-01-2024 17:29,309,-0.1,
07-01-2024 17:31,282,7.6,0.49
07-01-2024 17:33,261,7.6,0.49
07-01-2024 17:36,224,7.7,0.47
07-01-2024 17:37,208,7.7,0.42
07-01-2024 17:40,142,-0.1,
07-01-2024 17:40,182,7.7,0.44
07-01-2024 17:42,122,7.7,0.44
07-01-2024 17:42,132,7.7,0.44
07-01-2024 17:44,178,7.7,0.41
07-01-2024 17:45,139,7.7,0.43
07-01-2024 17:48,184,7.7,0.48
07-01-2024 17:51,192,-0.1,
07-01-2024 17:54,142,7.7,0.54
07-01-2024 17:57,191,7.7,0.54
07-01-2024 17:59,-1,7.7,
07-01-2024 18:03,198,7.7,0.53
07-01-2024 18:06,197,7.7,0.53
07-01-2024 18:08,140,7.7,0.51
07-01-2024 18:11,-1,7.7,
07-01-2024 18:13,186,7.8,0.47
07-01-2024 18:14,186,7.8,0.53
07-01-2024 18:15,183,7.8,0.53
07-01-2024 18:17,125,7.8,0.53
07-01-2024 18:19,136,7.8,0.53
07-01-2024 18:21,121,7.8,0.53
07-01-2024 18:22,161,7.8,0.49
07-01-2024 18:24,192,7.8,0.49
07-01-2024 18:26,198,7.8,0.48
07-01-2024 18:28,139,7.8,0.53
07-01-2024 18:31,194,7.8,0.54
07-01-2024 18:32,187,7.8,0.53
07-01-2024 18:34,182,7.8,
07-01-2024 18:36,185,7.8,0.53
07-01-2024 18:39,-1,7.8,
07-01-2024 18:41,168,-0.1,
07-01-2024 18:43,160,7.8,0.54
07-01-2024 18:44,160,7.8,0.54
07-01-2024 18:49,160,7.8,0.53
07-01-2024 18:54,160,7.8,0.5
07-01-2024 19:00,160,7.8,0.54
07-01-2024 19:05,160,7.8,0.51
07-01-2024 19:10,160,7.8,0.5
07-01-2024 19:16,160,7.8,0.49
07-01-2024 19:22,160,7.8,0.46
07-01-2024 19:27,160,7.8,0.45
07-01-2024 19:33,160,7.8,0.46
07-01-2024 19:38,160,7.8,0.46
07-01-2024 19:43,160,7.8,0.44
07-01-2024 19:49,160,7.8,0.45
07-01-2024 19:54,160,7.8,0.44
07-01-2024 19:59,160,7.8,0.46
07-01-2024 20:04,160,7.8,0.47
07-01-2024 20:09,160,7.8,0.45
07-01-2024 20:15,160,7.8,0.46
07-01-2024 20:21,160,7.8,0.47
07-01-2024 20:26,160,7.8,0.46
07-01-2024 20:31,160,7.8,0.47
07-01-2024 20:36,160,7.8,0.45
07-01-2024 20:42,160,7.8,0.45
07-01-2024 20:47,160,7.8,0.45
07-01-2024 20:52,160,7.8,0.47
07-01-2024 20:58,160,7.8,0.44
07-01-2024 21:03,160,7.8,0.46
07-01-2024 21:08,160,7.8,0.44
07-01-2024 21:13,160,7.8,0.4
07-01-2024 21:18,160,7.8,0.39
07-01-2024 21:25,160,7.8,0.41
07-01-2024 21:30,160,7.8,0.39
07-01-2024 21:35,160,0,0.38
07-01-2024 21:40,160,0,0.39
07-01-2024 21:46,160,0,0.4
07-01-2024 21:51,160,0,0.38
07-01-2024 21:56,160,0,0.38
07-01-2024 22:01,160,0,0.39
07-01-2024 22:06,160,0,0.39
07-01-2024 22:11,160,0,0.37
07-01-2024 22:17,160,0,0.36
07-01-2024 22:23,160,0,0.36
07-01-2024 22:28,160,0,0.36
07-01-2024 22:34,160,0,0.35
07-01-2024 22:39,160,0,0.37
07-01-2024 22:44,160,0,0.37
07-01-2024 22:49,160,0,0.35
07-01-2024 22:54,160,0,0.34
07-01-2024 22:59,160,0,0.36
07-01-2024 23:05,160,0,0.34
07-01-2024 23:10,160,0,0.36
07-01-2024 23:15,160,0,0.34
07-01-2024 23:21,160,0,0.36
07-01-2024 23:26,160,0,0.35
07-01-2024 23:32,160,0,0.37
07-01-2024 23:37,160,0,0.39
07-01-2024 23:42,160,0,0.4
07-01-2024 23:47,160,0,0.41
07-01-2024 23:53,160,0,0.41
07-01-2024 23:58,160,0,0.42
07-02-2024 00:03,160,0,0.42
07-02-2024 00:08,160,0,0.42
07-02-2024 00:13,160,0,0.4
07-02-2024 00:19,160,0,0.43
07-02-2024 00:25,160,0,0.42
07-02-2024 00:30,160,0,0.39
07-02-2024 00:35,160,0,0.41
07-02-2024 00:41,160,0,0.41
07-02-2024 00:46,160,0,0.42
07-02-2024 00:51,160,0,0.41
07-02-2024 00:56,160,0,0.44
07-02-2024 01:01,160,0,0.42
07-02-2024 01:07,160,0,0.43
07-02-2024 01:12,160,0,0.42
07-02-2024 01:17,160,0,0.43
07-02-2024 01:23,160,0,0.43
07-02-2024 01:29,160,0,0.42
07-02-2024 01:34,160,0,0.42
07-02-2024 01:39,160,0,0.43
07-02-2024 01:44,160,0,0.42
07-02-2024 01:50,160,0,0.43
07-02-2024 01:55,160,0,0.43
07-02-2024 02:00,160,0,0.43
07-02-2024 02:06,160,0,0.43
07-02-2024 02:11,160,0,0.43
07-02-2024 02:16,160,0,0.43
07-02-2024 02:22,160,0,0.44
07-02-2024 02:27,160,0,0.43
07-02-2024 02:32,160,0,0.45
07-02-2024 02:38,160,0,0.44
07-02-2024 02:43,160,0,0.44
07-02-2024 02:48,160,0,0.44
07-02-2024 02:53,160,0,0.43
07-02-2024 02:58,160,0,0.43
07-02-2024 03:03,160,0,0.45
07-02-2024 03:08,160,0,0.43
07-02-2024 03:14,160,0,0.44
07-02-2024 03:19,160,0,0.43
07-02-2024 03:26,160,0,0.44
07-02-2024 03:31,160,0,0.44
07-02-2024 03:36,160,0,0.43
07-02-2024 03:41,160,0,0.44
07-02-2024 03:46,160,0,0.43
07-02-2024 03:52,160,0,0.43
07-02-2024 03:57,160,0,0.42
07-02-2024 04:02,160,0,0.42
07-02-2024 04:07,160,0,0.42
07-02-2024 04:12,160,0,0.42
07-02-2024 04:18,160,0,0.41
07-02-2024 04:24,160,0,0.42
07-02-2024 04:29,160,0,0.42
07-02-2024 04:34,160,0,0.42
07-02-2024 04:39,160,0,0.42
07-02-2024 04:44,160,0,0.41
07-02-2024 04:50,160,0,0.42
07-02-2024 04:55,160,0,0.41
07-02-2024 05:00,160,0,0.41
07-02-2024 05:06,160,0,0.41
07-02-2024 05:11,160,0,0.41
07-02-2024 05:17,160,0,0.42
07-02-2024 05:22,160,0,0.43
07-02-2024 05:28,160,0,0.42
07-02-2024 05:33,160,0,0.42
07-02-2024 05:38,160,0,0.43
07-02-2024 05:43,160,0,0.43
07-02-2024 05:49,160,0,0.43
07-02-2024 05:54,160,0,0.43
07-02-2024 05:59,160,0,0.44
07-02-2024 06:04,160,0,0.43
07-02-2024 06:09,160,0,0.43
07-02-2024 06:15,160,-0.1,
07-02-2024 06:20,160,0,0.43
07-02-2024 06:26,160,0,0.41
07-02-2024 06:31,160,0,0.41
07-02-2024 06:37,160,0,0.4
07-02-2024 06:41,160,0,0.39
07-02-2024 06:47,160,0,0.39
07-02-2024 06:52,160,0,0.38
07-02-2024 06:57,160,0,0.37
07-02-2024 07:02,160,0,0.4
07-02-2024 07:08,160,0,0.38
07-02-2024 07:13,160,0,0.39
07-02-2024 07:18,160,0,0.39
07-02-2024 07:24,160,0,0.37
07-02-2024 07:30,160,0,0.37
07-02-2024 07:35,160,0,0.37
07-02-2024 07:40,160,0,0.37
07-02-2024 07:45,160,0,0.37
07-02-2024 07:51,160,0,0.37
07-02-2024 07:56,160,0,0.38
07-02-2024 08:01,160,0,0.39
07-02-2024 08:06,160,0,0.37
07-02-2024 08:12,160,0,0.36
07-02-2024 08:17,160,0,0.38
07-02-2024 08:23,160,0,0.42
07-02-2024 08:28,160,0,0.4
07-02-2024 08:33,160,0,0.4
07-02-2024 08:39,160,0,0.41
07-02-2024 08:44,160,0,0.41
07-02-2024 08:45,141,0,0.41
07-02-2024 08:48,144,0,0.4
07-02-2024 08:50,142,0,0.42
07-02-2024 08:52,141,-0.1,
07-02-2024 08:54,140,-0.1,
07-02-2024 08:56,144,0,0.41
07-02-2024 08:58,141,-0.1,
07-02-2024 09:00,141,0,0.41
07-02-2024 09:01,140,-0.1,
07-02-2024 09:03,141,0.1,0.4
07-02-2024 09:04,140,0.1,0.41
07-02-2024 09:05,141,0.1,0.4
07-02-2024 09:08,140,0.1,0.4
07-02-2024 09:09,141,0.1,0.4
07-02-2024 09:10,140,0.1,0.41
07-02-2024 09:14,140,0.1,0.43
07-02-2024 09:15,143,0.1,0.45
07-02-2024 09:17,142,0.1,0.46
07-02-2024 09:18,140,-0.1,
07-02-2024 09:20,142,0.1,0.45
07-02-2024 09:22,140,-0.1,
07-02-2024 09:24,138,0.1,0.41
07-02-2024 09:25,141,0.1,0.41
07-02-2024 09:26,142,0.1,0.41
07-02-2024 09:28,141,-0.1,
07-02-2024 09:29,141,0.1,0.44
07-02-2024 09:31,142,0.1,0.42
07-02-2024 09:32,143,-0.1,
07-02-2024 09:34,142,0.1,0.41
07-02-2024 09:35,143,0.1,0.43
07-02-2024 09:37,143,0.1,0.42
07-02-2024 09:38,146,0.1,0.42
07-02-2024 09:41,143,0.1,0.47
07-02-2024 09:42,143,0.1,0.49
07-02-2024 09:43,143,0.1,0.49
07-02-2024 09:47,145,0.1,0.49
07-02-2024 09:48,143,0.1,0.54
07-02-2024 09:50,144,-0.1,
07-02-2024 09:52,146,0.1,0.46
07-02-2024 09:54,142,0.1,0.46
07-02-2024 09:55,145,-0.1,
07-02-2024 09:57,142,0.2,0.48
07-02-2024 09:58,145,0.2,0.47
07-02-2024 09:59,145,0.2,0.4
07-02-2024 10:01,150,-0.1,
07-02-2024 10:02,147,0.2,0.4
07-02-2024 10:03,143,0.2,0.41
07-02-2024 10:06,144,0.2,0.53
07-02-2024 10:07,143,0.2,0.45
07-02-2024 10:08,144,0.2,0.45
07-02-2024 10:12,146,-0.1,
07-02-2024 10:14,145,0.2,0.48
07-02-2024 10:15,145,0.2,0.46
07-02-2024 10:17,146,0.2,0.47
07-02-2024 10:19,147,-0.1,
07-02-2024 10:22,149,-0.1,
07-02-2024 10:23,148,0.2,0.56
07-02-2024 10:25,147,-0.1,
07-02-2024 10:27,146,0.2,0.55
07-02-2024 10:28,145,0.2,0.45
07-02-2024 10:31,146,0.2,0.47
07-02-2024 10:32,147,0.2,0.48
07-02-2024 10:33,149,0.2,0.47
07-02-2024 10:37,149,-0.1,
07-02-2024 10:38,150,0.2,0.53
07-02-2024 10:40,152,-0.1,
07-02-2024 10:42,151,0.2,0.52
07-02-2024 10:44,152,0.2,0.51
07-02-2024 10:45,153,-0.1,
07-02-2024 10:47,152,0.3,0.49
07-02-2024 10:48,154,-0.1,
07-02-2024 10:51,155,0.3,0.5
07-02-2024 10:52,152,-0.1,
07-02-2024 10:54,155,-0.1,
07-02-2024 10:55,155,0.3,0.49
07-02-2024 10:56,153,0.3,0.48
07-02-2024 10:58,155,0.3,0.49
07-02-2024 10:59,155,-0.1,
07-02-2024 11:02,155,0.3,0.51
07-02-2024 11:04,155,0.3,0.51
07-02-2024 11:05,153,0.3,0.5
07-02-2024 11:06,152,-0.1,
07-02-2024 11:08,156,0.3,0.49
07-02-2024 11:09,154,0.3,0.5
07-02-2024 11:11,210,0.3,0.5
07-02-2024 11:12,155,0.3,0.51
07-02-2024 11:13,155,-0.1,
07-02-2024 11:17,157,0.3,0.49
07-02-2024 11:18,156,0.3,0.51
07-02-2024 11:20,156,0.3,0.5
07-02-2024 11:23,156,0.3,0.51
07-02-2024 11:24,156,0.3,0.5
07-02-2024 11:25,153,0.3,0.5
07-02-2024 11:29,157,0.3,0.49
07-02-2024 11:30,157,0.3,0.49
07-02-2024 11:31,157,0.3,0.5
07-02-2024 11:33,158,-0.1,
07-02-2024 11:35,156,-0.1,
07-02-2024 11:38,159,0.4,0.5
07-02-2024 11:39,160,0.4,0.51
07-02-2024 11:41,158,0.4,0.52
07-02-2024 11:42,160,0.4,0.52
07-02-2024 11:44,157,-0.1,
07-02-2024 11:46,158,0.4,0.48
07-02-2024 11:48,158,0.4,0.46
07-02-2024 11:49,158,0.4,0.45
07-02-2024 11:51,155,0.4,0.43
07-02-2024 11:53,158,0.4,0.43
07-02-2024 11:54,157,0.4,0.43
07-02-2024 11:56,158,0.4,0.45
07-02-2024 11:57,158,0.4,0.44
07-02-2024 12:00,159,0.4,0.48
07-02-2024 12:02,160,0.4,0.48
07-02-2024 12:03,157,0.4,0.48
07-02-2024 12:05,159,-0.1,
07-02-2024 12:06,158,-0.1,
07-02-2024 12:08,158,-0.1,
07-02-2024 12:09,158,0.4,0.45
07-02-2024 12:13,159,0.4,0.47
07-02-2024 12:15,160,-0.1,
07-02-2024 12:16,159,-0.1,
07-02-2024 12:18,159,0.4,0.46
07-02-2024 12:19,162,0.4,0.46
07-02-2024 12:21,159,0.4,0.47
07-02-2024 12:22,159,0.5,0.46
07-02-2024 12:23,160,0.5,0.48
07-02-2024 12:27,157,0.5,0.51
07-02-2024 12:29,161,-0.1,
07-02-2024 12:30,159,0.5,0.5
07-02-2024 12:32,160,0.5,0.5
07-02-2024 12:33,159,0.5,0.51
07-02-2024 12:36,158,-0.1,
07-02-2024 12:38,158,0.5,0.51
07-02-2024 12:39,158,0.5,0.5
07-02-2024 12:42,157,-0.1,
07-02-2024 12:44,158,0.5,0.51
07-02-2024 12:45,157,-0.1,
07-02-2024 12:47,158,0.5,0.5
07-02-2024 12:48,156,0.5,0.5
07-02-2024 12:50,155,0.5,0.51
07-02-2024 12:53,158,0.5,0.51
07-02-2024 12:55,158,-0.1,
07-02-2024 12:56,158,0.5,0.5
07-02-2024 12:58,155,0.5,0.51
07-02-2024 12:59,158,0.5,0.52
07-02-2024 13:00,158,0.5,0.51
07-02-2024 13:01,160,0.5,0.51
07-02-2024 13:05,159,0.5,0.5
07-02-2024 13:06,158,0.5,0.51
07-02-2024 13:08,158,0.5,0.51
07-02-2024 13:09,158,0.6,0.51
07-02-2024 13:10,158,0.6,0.51
07-02-2024 13:12,159,0.6,0.49
07-02-2024 13:13,158,0.6,0.49
07-02-2024 13:14,161,0.6,0.51
07-02-2024 13:15,159,0.6,0.51
07-02-2024 13:20,160,0.6,0.47
07-02-2024 13:21,160,0.6,0.47
07-02-2024 13:22,159,0.6,0.47
07-02-2024 13:26,162,0.6,0.48
07-02-2024 13:27,162,-0.1,
07-02-2024 13:29,158,-0.1,
07-02-2024 13:30,160,0.6,0.48
07-02-2024 13:32,235,0.6,0.49
07-02-2024 13:33,159,0.6,0.48
07-02-2024 13:34,157,-0.1,
07-02-2024 13:37,161,0.6,0.47
07-02-2024 13:39,161,0.6,0.48
07-02-2024 13:40,160,0.6,0.49
07-02-2024 13:41,160,0.6,0.49
07-02-2024 13:42,158,0.6,0.48
07-02-2024 13:46,158,0.6,0.48
07-02-2024 13:47,159,0.6,0.49
07-02-2024 13:49,159,0.6,0.49
07-02-2024 13:50,158,0.6,0.5
07-02-2024 13:51,158,0.6,0.48
07-02-2024 13:55,158,-0.1,
07-02-2024 13:56,160,0.7,0.48
07-02-2024 13:58,159,0.7,0.49
07-02-2024 14:00,158,0.7,0.53
07-02-2024 14:02,160,0.7,0.53
07-02-2024 14:03,162,0.7,0.53
07-02-2024 14:05,160,-0.1,
07-02-2024 14:06,158,0.7,0.52
07-02-2024 14:09,159,0.7,0.52
07-02-2024 14:10,158,0.7,0.52
07-02-2024 14:12,158,0.7,0.53
07-02-2024 14:13,160,0.7,0.53
07-02-2024 14:14,157,-0.1,
07-02-2024 14:18,157,0.7,0.52
07-02-2024 14:19,157,0.7,0.53
07-02-2024 14:20,158,0.7,0.53
07-02-2024 14:24,159,0.7,0.53
07-02-2024 14:25,160,0.7,0.52
07-02-2024 14:27,157,0.7,0.53
07-02-2024 14:28,160,0.7,0.52
07-02-2024 14:30,161,0.7,0.53
07-02-2024 14:33,159,-0.1,
07-02-2024 14:34,158,-0.1,
07-02-2024 14:36,159,0.7,0.52
07-02-2024 14:37,159,0.7,0.51
07-02-2024 14:38,156,0.7,0.52
07-02-2024 14:39,159,0.7,0.52
07-02-2024 14:40,158,0.7,0.52
07-02-2024 14:44,159,0.8,0.52
07-02-2024 14:46,160,-0.1,
07-02-2024 14:47,162,-0.1,
07-02-2024 14:48,158,0.8,0.51
07-02-2024 14:50,196,0.8,0.52
07-02-2024 14:51,161,-0.1,
07-02-2024 14:53,161,-0.1,
07-02-2024 14:55,161,0.8,0.52
07-02-2024 14:56,160,0.8,0.51
07-02-2024 14:58,159,0.8,0.51
07-02-2024 15:00,163,0.8,0.52
