Senddate,Hours,Solar energy Generation  (kWh),consumptionValue (kW),Device_1_Consumption (kW),Device_2_Consumption (kW),Device_3_Consumption (kW),Device_4_Consumption (kW),TOU_rates (INR),Predicted Solar energy Generation (kWh),Predicted TOU_rates (INR),Cummulative Energy Consumption
01-07-2024,08:30,0.3,0.41,0.025,0.097,0.062,0.237,24.41011236,0.3,24.41011236,47.26
01-07-2024,08:34,0.3,0.4,0.003,0.007,0.219,0.284,24.41011236,0.3,24.41011236,47.66
01-07-2024,08:35,-0.1,,,,,,24.41011236,-0.1,24.41011236,47.66
01-07-2024,08:37,-0.1,,,,,,24.41011236,-0.1,24.41011236,47.66
01-07-2024,08:39,-0.1,,,,,,24.41011236,-0.1,24.41011236,47.66
01-07-2024,08:40,0.3,0.41,0.008,0.089,0.086,0.332,24.41011236,0.3,24.41011236,48.07
01-07-2024,08:42,-0.1,,,,,,24.41011236,-0.1,24.41011236,48.07
01-07-2024,08:43,0.3,0.41,0.002,0.105,0.138,0.108,24.41011236,0.3,24.41011236,48.48
01-07-2024,08:44,0.3,0.41,0.014,0.088,0.034,0.213,24.41011236,0.3,24.41011236,48.89
01-07-2024,08:46,0.3,0.4,0.082,0.243,0.046,0.01,24.41011236,0.3,24.41011236,49.29
01-07-2024,08:47,0.3,0.41,0.128,0.091,0.082,0.036,24.41011236,0.3,24.41011236,49.7
01-07-2024,08:51,-0.1,,,,,,24.41011236,-0.1,24.41011236,49.7
01-07-2024,08:52,0.3,0.41,0.141,0.014,0.018,0.314,24.41011236,0.3,24.41011236,50.11
01-07-2024,08:53,0.3,0.4,0.002,0.014,0.031,0.032,24.41011236,0.3,24.41011236,50.51
01-07-2024,08:56,-0.1,,,,,,24.41011236,-0.1,24.41011236,50.51
01-07-2024,08:58,0.3,0.42,0.112,0.003,0.282,0.004,24.41011236,0.3,24.41011236,50.93
01-07-2024,09:00,-0.1,,,,,,24.41011236,-0.1,24.41011236,50.93
01-07-2024,09:02,-0.1,,,,,,24.41011236,-0.1,24.41011236,50.93
01-07-2024,09:03,-0.1,,,,,,24.41011236,-0.1,24.41011236,50.93
01-07-2024,09:05,0.3,0.41,0.086,0.159,0.073,0.006,24.41011236,0.3,24.41011236,51.34
01-07-2024,09:06,0.3,0.42,0.136,0.034,0.223,0.018,24.41011236,0.3,24.41011236,51.76
01-07-2024,09:07,0.3,0.41,0.12,0.165,0.04,0.041,24.41011236,0.3,24.41011236,52.17
01-07-2024,09:10,0.4,0.41,0.102,0.025,0.262,0.094,24.41011236,0.4,24.41011236,52.58
01-07-2024,09:11,0.4,0.41,0.208,0.044,0.109,0.071,24.41011236,0.4,24.41011236,52.99
01-07-2024,09:12,0.4,0.42,0.19,0.156,0.215,0.182,24.41011236,0.4,24.41011236,53.41
01-07-2024,09:16,0.4,0.42,0.006,0.017,0.006,0.096,24.41011236,0.4,24.41011236,53.83
01-07-2024,09:17,0.4,0.46,0.112,0.058,0.132,0.098,24.41011236,0.4,24.41011236,54.29
01-07-2024,09:18,0.4,0.42,0.013,0.135,0.036,0.049,24.41011236,0.4,24.41011236,54.71
01-07-2024,09:18,0.4,0.45,0.194,0.154,0.101,0.12,24.41011236,0.4,24.41011236,55.16
01-07-2024,09:25,0.5,0.44,0.028,0.06,0.318,0.012,24.41011236,0.5,24.41011236,55.6
01-07-2024,09:30,0.5,0.44,0.109,0.276,0.145,0.161,24.41011236,0.5,24.41011236,56.04
01-07-2024,09:35,0.6,0.45,0.166,0.054,0.139,0.146,24.41011236,0.6,24.41011236,56.49
01-07-2024,09:40,0.7,0.48,0.213,0.227,0.219,0.249,24.41011236,0.7,24.41011236,56.97
01-07-2024,09:45,0.8,0.49,0.264,0.148,0.138,0.163,24.41011236,0.8,24.41011236,57.46
01-07-2024,09:51,0.8,0.49,0.11,0.006,0.079,0.019,24.41011236,0.8,24.41011236,57.95
01-07-2024,09:56,0.9,0.48,0.09,0.222,0.122,0.081,24.41011236,0.9,24.41011236,58.43
01-07-2024,10:01,1,0.46,0.189,0.016,0.133,0.221,24.41011236,1,24.41011236,58.89
01-07-2024,10:06,1.1,0.5,0.122,0.157,0.193,0.039,24.41011236,1.1,24.41011236,59.39
01-07-2024,10:11,1.2,0.51,0.126,0.001,0.081,0.098,24.41011236,1.2,24.41011236,59.9
01-07-2024,10:17,1.2,0.51,0.017,0.067,0.116,0.254,24.41011236,1.2,24.41011236,60.41
01-07-2024,10:23,1.4,0.51,0.021,0.18,0.098,0.209,24.41011236,1.4,24.41011236,60.92
01-07-2024,10:28,1.5,0.5,0.045,0.102,0.056,0.16,24.41011236,1.5,24.41011236,61.42
01-07-2024,10:33,1.6,0.52,0.017,0.211,0.189,0.144,24.41011236,1.6,24.41011236,61.94
01-07-2024,10:38,1.6,0.5,0.162,0.047,0.158,0.041,24.41011236,1.6,24.41011236,62.44
01-07-2024,10:43,1.8,0.48,0.224,0.221,0.213,0.014,24.41011236,1.8,24.41011236,62.92
01-07-2024,10:49,1.9,0.46,0.087,0.045,0.283,0.117,24.41011236,1.9,24.41011236,63.38
01-07-2024,10:54,1.9,0.46,0.032,0.128,0.072,0.043,24.41011236,1.9,24.41011236,63.84
01-07-2024,10:59,2,0.46,0.283,0.027,0.048,0.142,24.41011236,2,24.41011236,64.3
01-07-2024,11:04,2.1,0.47,0.289,0.178,0.361,0.25,24.41011236,2.1,24.41011236,64.77
01-07-2024,11:09,2.2,0.46,0.049,0.117,0.041,0.011,24.41011236,2.2,24.41011236,65.23
01-07-2024,11:14,2.3,0.43,0.302,0.068,0.168,0.029,24.41011236,2.3,24.41011236,65.66
01-07-2024,11:19,2.4,0.43,0.218,0.085,0.039,0.111,24.41011236,2.4,24.41011236,66.09
01-07-2024,11:26,2.5,0.48,0.078,0.018,0.044,0.269,24.41011236,2.5,24.41011236,66.57
01-07-2024,11:31,2.6,0.51,0.391,0.037,0.312,0.149,24.41011236,2.6,24.41011236,67.08
01-07-2024,11:36,2.7,0.46,0.022,0.073,0.131,0.211,24.41011236,2.7,24.41011236,67.54
01-07-2024,11:41,2.8,0.43,0.005,0.184,0.072,0.114,24.41011236,2.8,24.41011236,67.97
01-07-2024,11:46,2.9,0.55,0.421,0.14,0.209,0.323,24.41011236,2.9,24.41011236,68.52
01-07-2024,11:52,3,0.44,0.054,0.073,0.022,0.145,24.41011236,3,24.41011236,68.96
01-07-2024,11:57,3.1,0.46,0.049,0.179,0.017,0.22,24.41011236,3.1,24.41011236,69.42
01-07-2024,12:02,3.2,0.48,0.386,0.05,0.032,0.117,24.41011236,3.2,24.41011236,69.9
01-07-2024,12:07,3.3,0.47,0.231,0.075,0.017,0.209,24.41011236,3.3,24.41011236,70.37
01-07-2024,12:12,3.4,0.46,0.281,0.268,0.109,0.152,24.41011236,3.4,24.41011236,70.83
01-07-2024,12:16,3.5,0.46,0.321,0.232,0.095,0.004,24.41011236,3.5,24.41011236,71.29
01-07-2024,12:18,3.5,0.43,0.247,0.27,0.119,0.218,24.41011236,3.5,24.41011236,71.72
01-07-2024,12:18,3.5,0.48,0.133,0.018,0.05,0.08,24.41011236,3.5,24.41011236,72.2
01-07-2024,12:24,3.5,0.45,0.072,0.01,0.004,0.002,24.41011236,3.5,24.41011236,72.65
01-07-2024,12:29,3.6,0.48,0.007,0.134,0.093,0.081,24.41011236,3.6,24.41011236,73.13
01-07-2024,12:34,3.7,0.48,0.023,0.005,0.169,0.085,24.41011236,3.7,24.41011236,73.61
01-07-2024,12:39,3.8,0.5,0.112,0.044,0.158,0.273,24.41011236,3.8,24.41011236,74.11
01-07-2024,12:44,3.8,0.5,0.314,0.074,0.037,0.021,24.41011236,3.8,24.41011236,74.61
01-07-2024,12:50,3.9,0.41,0.018,0.174,0.004,0.154,19.29775281,3.9,19.29775281,75.02
01-07-2024,12:55,4,0.42,0.107,0.077,0.023,0.091,19.29775281,4,19.29775281,75.44
01-07-2024,13:00,4.1,0.46,0.126,0.07,0.214,0.091,19.29775281,4.1,19.29775281,75.9
01-07-2024,13:05,4.1,0.45,0.016,0.253,0.261,0.056,19.29775281,4.1,19.29775281,76.35
01-07-2024,13:10,4.2,0.45,0.273,0.071,0.249,0.083,19.29775281,4.2,19.29775281,76.8
01-07-2024,13:16,4.3,0.45,0.005,0.224,0.016,0.039,19.29775281,4.3,19.29775281,77.25
01-07-2024,13:22,4.4,0.43,0.279,0.199,0.186,0.24,19.29775281,4.4,19.29775281,77.68
01-07-2024,13:27,4.4,0.45,0.165,0.084,0.053,0.131,19.29775281,4.4,19.29775281,78.13
01-07-2024,13:32,4.5,0.39,0.131,0.148,0.032,0.273,19.29775281,4.5,19.29775281,78.52
01-07-2024,13:37,4.6,0.37,0.01,0.029,0.055,0.088,19.29775281,4.6,19.29775281,78.89
01-07-2024,13:42,4.7,0.39,0.016,0.199,0.075,0.138,19.29775281,4.7,19.29775281,79.28
01-07-2024,13:47,4.8,0.38,0.149,0.313,0.329,0.013,19.29775281,4.8,19.29775281,79.66
01-07-2024,13:52,4.9,0.39,0.145,0.071,0.072,0.028,19.29775281,4.9,19.29775281,80.05
01-07-2024,13:57,4.9,0.37,0.113,0.039,0.277,0.039,19.29775281,4.9,19.29775281,80.42
01-07-2024,14:02,5,0.38,0.046,0.011,0.145,0.102,19.29775281,5,19.29775281,80.8
01-07-2024,14:08,5.1,0.36,0.061,0.136,0.046,0.035,19.29775281,5.1,19.29775281,81.16
01-07-2024,14:13,5.2,0.37,0.04,0.088,0.253,0.206,19.29775281,5.2,19.29775281,81.53
01-07-2024,14:18,5.3,0.35,0.012,0.15,0.025,0.031,19.29775281,5.3,19.29775281,81.88
01-07-2024,14:24,5.3,0.41,0.078,0.08,0.046,0.165,19.29775281,5.3,19.29775281,82.29
01-07-2024,14:29,5.4,0.41,0.037,0.067,0.113,0.079,19.29775281,5.4,19.29775281,82.7
01-07-2024,14:34,5.5,0.41,0.041,0.148,0.091,0.011,19.29775281,5.5,19.29775281,83.11
01-07-2024,14:40,5.6,0.41,0.091,0.129,0.073,0.338,19.29775281,5.6,19.29775281,83.52
01-07-2024,14:45,5.6,0.42,0.218,0.35,0.149,0.035,19.29775281,5.6,19.29775281,83.94
01-07-2024,14:48,5.7,0.44,0.125,0.1,0.096,0.168,19.29775281,5.7,19.29775281,84.38
01-07-2024,14:49,5.7,0.43,0.193,0.019,0.169,0.108,19.29775281,5.7,19.29775281,84.81
01-07-2024,14:50,5.7,0.44,0.005,0.15,0.044,0.182,19.29775281,5.7,19.29775281,85.25
01-07-2024,14:55,5.8,0.39,0.002,0.109,0.238,0.095,19.29775281,5.8,19.29775281,85.64
01-07-2024,15:00,5.9,0.38,0.078,0.097,0.101,0.015,19.29775281,5.9,19.29775281,86.02
01-07-2024,15:05,6,0.38,0.044,0.133,0.227,0.007,10,6,10,86.4
01-07-2024,15:08,6,0.38,0.062,0.018,0.273,0.09,10,6,10,86.78
01-07-2024,15:10,6,0.41,0.042,0.075,0.018,0.064,10,6,10,87.19
01-07-2024,15:12,6.1,0.4,0.242,0.17,0.101,0.071,10,6.1,10,87.59
01-07-2024,15:15,6.1,0.4,0.117,0.084,0.154,0.108,10,6.1,10,87.99
01-07-2024,15:22,6.2,0.4,0.021,0.204,0.008,0.149,10,6.2,10,88.39
01-07-2024,15:27,6.2,0.42,0.265,0.156,0.176,0.062,10,6.2,10,88.81
01-07-2024,15:32,6.3,0.39,0.084,0.075,0.17,0.014,10,6.3,10,89.2
01-07-2024,15:37,6.4,0.39,0.087,0.005,0.07,0.056,10,6.4,10,89.59
01-07-2024,15:42,6.5,0.39,0.066,0.046,0.023,0.043,10,6.5,10,89.98
01-07-2024,15:47,6.6,0.38,0.247,0.015,0.102,0.17,10,6.6,10,90.36
01-07-2024,15:53,6.7,0.38,0.003,0.154,0.022,0.07,10,6.7,10,90.74
01-07-2024,15:58,6.7,0.37,0.163,0.188,0.044,0.039,10,6.7,10,91.11
01-07-2024,16:03,6.8,0.38,0.116,0.098,0.077,0.041,10,6.8,10,91.49
01-07-2024,16:08,6.9,0.38,0.135,0.078,0.137,0.038,10,6.9,10,91.87
01-07-2024,16:13,6.9,0.36,0.198,0.109,0.277,0.074,10,6.9,10,92.23
01-07-2024,16:18,7,0.44,0.006,0.057,0.06,0.166,10,7,10,92.67
01-07-2024,16:24,7.1,0.49,0.044,0.018,0.259,0.027,10,7.1,10,93.16
01-07-2024,16:29,7.1,0.44,0.06,0.011,0.121,0.027,10,7.1,10,93.6
01-07-2024,16:35,7.2,0.46,0.15,0.067,0.046,0.172,10,7.2,10,94.06
01-07-2024,16:40,7.3,0.4,0.058,0.154,0.022,0.089,10,7.3,10,94.46
01-07-2024,16:45,7.3,0.44,0.165,0.055,0.044,0.007,10,7.3,10,94.9
01-07-2024,16:50,7.4,0.44,0.209,0.086,0.209,0.093,10,7.4,10,95.34
01-07-2024,16:55,7.4,0.41,0.188,0.019,0.105,0.092,10,7.4,10,95.75
01-07-2024,17:00,7.5,0.4,0.02,0.251,0.189,0.091,10,7.5,10,96.15
